,is_fraud,text,norm
0,1,"здравствуйте, я менеджер банка SBI, срок действия вашей дебетовой карты истекает, если вы хотите выпустить новую  карту.","здравствуйте, я менеджер банк sbi, срок действие ваш дебетовый карта истекает, если вы хотеть выпустить новый карту."
1,1,"Номера Vodafone, заканчивающиеся на 4882, выбираются для получения награды в размере 350 фунтов стерлингов. Если ваш номер совпадает, позвоните 09064019014, чтобы получить награду в размере 350 фунтов стерлингов.","номер vodafone, заканчиваться на 4882, выбираться для получение награда в размер 350 фунт стерлингов. если ваш номер совпадает, позвонить 09064019014, чтобы получить награда в размер 350 фунт стерлингов."
2,0,"Пожалуйста, не говори так. Привет, привет","пожалуйста, не говорить так. привет, привет"
3,0,Спасибо!,спасибо!
4,0,"Это было переадресованное послание. Я думала, ты мне это пришлёшь.","это быть переадресовать послание. я думала, ты я это пришлёшь."
5,0,"Понятно. Семнадцать фунтов за семьсот миллилитров – надеюсь, хорошо.","понятно. семнадцать фунт за семьсот миллилитр – надеюсь, хорошо."
6,0,Мы с ним такие смешные...,мы с они такой смешные...
7,0,"Дорогая, надеюсь, у тебя не будет такого дня! Есть один с кучей причин, чтобы улыбнуться. Biola","дорогая, надеюсь, у ты не быть такой дня! есть один с куча причин, чтобы улыбнуться. biola"
8,0,"Когда ты войдешь в систему, папа заберет тебя домой?","когда ты войти в систему, папа забрать ты домой?"
9,0,"Что мы будем делать в душе, детка?","что мы быть делать в душе, детка?"
10,0,Я задал вам вопрос несколько часов назад. Его ответ,я задать вы вопрос несколько час назад. он ответ
11,0,"Ну, мне определенно нужно пополнить запасы до Дня благодарения, я дам вам знать, когда я выйду","ну, я определённо нужно пополнить запас до день благодарения, я дать вы знать, когда я выйти"
12,0,"поцелуй, поцелуй, я не могу сделать звуковые эффекты! Он великолепный человек, не так ли! Такой человек, которому нужна улыбка, чтобы украсить свой день!","поцелуй, поцелуй, я не мочь сделать звуковой эффекты! он великолепный человек, не так ли! такой человек, который нужный улыбка, чтобы украсить свой день!"
13,0,"Вероятно, заскочу немного.","вероятно, закон немного."
14,0,"Очень хорошо, будьте готовы к четвергу.","очень хорошо, быть готовый к четвергу."
15,0,"Алло! Мы отважились на автобусы, сели на поезда и победили. Я имею в виду, что мы в Б'хаме. Хорошего отдыха на неделе","алло! мы отважиться на автобусы, сель на поезд и победили. я иметь в виду, что мы в б'хаме. хороший отдых на неделя"
16,0,"Просмотр мультфильмов, прослушивание музыки и в канун должен был пойти храм &amp; церковь.. А как насчет вас?","просмотр мультфильмов, прослушивание музыка и в канун должный быть пойти храм &amp; церковь.. а как насчёт вас?"
17,0,"Вы не против, если я спрошу, что случилось? Вы не должны говорить, если это неудобно.","вы не против, если я спрошу, что случилось? вы не должный говорить, если это неудобно."
18,0,Нет проблем. Я отправлю на вашу электронную почту.,нет проблем. я отправить на ваш электронный почту.
19,1,"Вы выиграли €1000 наличными или приз в размере €2000! Чтобы подать заявку, позвоните по номеру 09050000327.","вы выиграть €1000 наличные или приз в размер €2000! чтобы подать заявку, позвонить по номер 09050000327."
20,0,Это круто! Иногда медленно и нежно. Иногда грубо и тяжело.,это круто! иногда медленно и нежно. иногда грубо и тяжело.
21,0,"Я скажу ""нет"". Извини, но как обычно, я начинаю паниковать по поводу времени. Извините еще раз! Вы видите во вторник?","я сказать ""нет"". извини, но как обычно, я начинать паниковать по повод времени. извинить ещё раз! вы видеть в вторник?"
22,1,"здравствуйте, сэр, я из службы поддержки клиентов jio через 23 часа ваш сим будет закрыт. вы хотите активировать его.","здравствуйте, сэр, я из служба поддержка клиент jio через 23 час ваш сие быть закрыт. вы хотеть активировать его."
23,1,"здравствуйте, сэр, я из службы поддержки клиентов airtel через 23 часа ваш сим будет закрыт. вы хотите активировать его.","здравствуйте, сэр, я из служба поддержка клиент airtel через 23 час ваш сие быть закрыт. вы хотеть активировать его."
24,1,"здравствуйте, сэр, я от идеи обслуживания клиентов в 23 часов ваш сим будет закрыт. вы хотите активировать его.","здравствуйте, сэр, я от идея обслуживание клиент в 23 час ваш сие быть закрыт. вы хотеть активировать его."
25,1,"здравствуйте, сэр, я из службы поддержки клиентов Vodafone через 23 часа ваш сим будет закрыт. вы хотите активировать его.","здравствуйте, сэр, я из служба поддержка клиент vodafone через 23 час ваш сие быть закрыт. вы хотеть активировать его."
26,1,"здравствуйте, сэр, я из службы поддержки клиентов bsnl через 23 часа ваш сим будет закрыт. вы хотите активировать его.","здравствуйте, сэр, я из служба поддержка клиент bsnl через 23 час ваш сие быть закрыт. вы хотеть активировать его."
27,1,"здравствуйте, сэр, я из mtnl обслуживания клиентов в 23 часов ваш сим будет закрыт. вы хотите активировать его.","здравствуйте, сэр, я из mtnl обслуживание клиент в 23 час ваш сие быть закрыт. вы хотеть активировать его."
28,1,"здравствуйте, сэр, я из службы поддержки клиентов jio через 23 часа ваш сим будет деактивирован. вы хотите активировать его.","здравствуйте, сэр, я из служба поддержка клиент jio через 23 час ваш сие быть деактивирован. вы хотеть активировать его."
29,1,"здравствуйте, сэр, я из службы поддержки клиентов airtel через 23 часа ваш сим будет деактивирован. вы хотите активировать его.","здравствуйте, сэр, я из служба поддержка клиент airtel через 23 час ваш сие быть деактивирован. вы хотеть активировать его."
30,1,"здравствуйте, сэр, я от идеи обслуживания клиентов в 23 часов ваш сим будет деактивирован. вы хотите активировать его.","здравствуйте, сэр, я от идея обслуживание клиент в 23 час ваш сие быть деактивирован. вы хотеть активировать его."
31,1,"здравствуйте, сэр, я из службы поддержки клиентов Vodafone через 23 часа ваш сим будет деактивирован. вы хотите активировать его.","здравствуйте, сэр, я из служба поддержка клиент vodafone через 23 час ваш сие быть деактивирован. вы хотеть активировать его."
32,1,"здравствуйте, сэр, я из службы поддержки клиентов bsnl через 23 часа ваш сим будет деактивирован. вы хотите активировать его.","здравствуйте, сэр, я из служба поддержка клиент bsnl через 23 час ваш сие быть деактивирован. вы хотеть активировать его."
33,1,"здравствуйте, сэр, я из центра обслуживания клиентов JIO, мы проверяем ваш номер, поэтому в вашем телефоне четыре цифры OPT будут отправлены. скажите мне, что OTP.","здравствуйте, сэр, я из центр обслуживание клиент jio, мы проверять ваш номер, поэтому в ваш телефон четыре цифра opt быть отправлены. сказать мне, что otp."
