,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,label,content
0,0,0,0,0,0,1,"здравствуйте, я менеджер банка SBI, срок действия вашей дебетовой карты истекает, если вы хотите выпустить новую  карту."
1,1,1,1,1,1,1,"Номера Vodafone, заканчивающиеся на 4882, выбираются для получения награды в размере 350 фунтов стерлингов. Если ваш номер совпадает, позвоните 09064019014, чтобы получить награду в размере 350 фунтов стерлингов."
2,2,2,2,2,2,0,"Пожалуйста, не говори так. Привет, привет"
3,3,3,3,3,3,0,Спасибо!
4,4,4,4,4,4,0,"Это было переадресованное послание. Я думала, ты мне это пришлёшь."
5,5,5,5,5,5,0,"Понятно. Семнадцать фунтов за семьсот миллилитров – надеюсь, хорошо."
6,6,6,6,6,6,0,Мы с ним такие смешные...
7,7,7,7,7,7,0,"Дорогая, надеюсь, у тебя не будет такого дня! Есть один с кучей причин, чтобы улыбнуться. Biola"
8,8,8,8,8,8,0,"Когда ты войдешь в систему, папа заберет тебя домой?"
9,9,9,9,9,9,0,"Что мы будем делать в душе, детка?"
10,10,10,10,10,10,0,Я задал вам вопрос несколько часов назад. Его ответ
11,11,11,11,11,11,0,"Ну, мне определенно нужно пополнить запасы до Дня благодарения, я дам вам знать, когда я выйду"
12,12,12,12,12,12,0,"поцелуй, поцелуй, я не могу сделать звуковые эффекты! Он великолепный человек, не так ли! Такой человек, которому нужна улыбка, чтобы украсить свой день!"
13,13,13,13,13,13,0,"Вероятно, заскочу немного."
14,14,14,14,14,14,0,"Очень хорошо, будьте готовы к четвергу."
15,15,15,15,15,15,0,"Алло! Мы отважились на автобусы, сели на поезда и победили. Я имею в виду, что мы в Б'хаме. Хорошего отдыха на неделе"
16,16,16,16,16,16,0,"Просмотр мультфильмов, прослушивание музыки и в канун должен был пойти храм &amp; церковь.. А как насчет вас?"
17,17,17,17,17,17,0,"Вы не против, если я спрошу, что случилось? Вы не должны говорить, если это неудобно."
18,18,18,18,18,18,0,Нет проблем. Я отправлю на вашу электронную почту.
19,19,19,19,19,19,1,"Вы выиграли €1000 наличными или приз в размере €2000! Чтобы подать заявку, позвоните по номеру 09050000327."
20,20,20,20,20,20,0,Это круто! Иногда медленно и нежно. Иногда грубо и тяжело.
21,21,21,21,21,21,0,"Я скажу ""нет"". Извини, но как обычно, я начинаю паниковать по поводу времени. Извините еще раз! Вы видите во вторник?"
22,22,22,22,22,22,1,"здравствуйте, сэр, я из службы поддержки клиентов jio через 23 часа ваш сим будет закрыт. вы хотите активировать его."
23,23,23,23,23,23,1,"здравствуйте, сэр, я из службы поддержки клиентов airtel через 23 часа ваш сим будет закрыт. вы хотите активировать его."
24,24,24,24,24,24,1,"здравствуйте, сэр, я от идеи обслуживания клиентов в 23 часов ваш сим будет закрыт. вы хотите активировать его."
25,25,25,25,25,25,1,"здравствуйте, сэр, я из службы поддержки клиентов Vodafone через 23 часа ваш сим будет закрыт. вы хотите активировать его."
26,26,26,26,26,26,1,"здравствуйте, сэр, я из службы поддержки клиентов bsnl через 23 часа ваш сим будет закрыт. вы хотите активировать его."
27,27,27,27,27,27,1,"здравствуйте, сэр, я из mtnl обслуживания клиентов в 23 часов ваш сим будет закрыт. вы хотите активировать его."
28,28,28,28,28,28,1,"здравствуйте, сэр, я из службы поддержки клиентов jio через 23 часа ваш сим будет деактивирован. вы хотите активировать его."
